authors,genbankAccession,gisaidEpiIsl,originatingLab,sraAccession,strain,submittingLab
,,EPI_ISL_760739,,,hCoV-19/England/QEUH-CAF17D/2020,
,,EPI_ISL_1377529,,,hCoV-19/England/MILK-14015EB/2021,
,,EPI_ISL_2735859,,,hCoV-19/England/PHEC-15588B/2021,
,,EPI_ISL_770467,,,hCoV-19/England/205300109/2020,
,,EPI_ISL_1374256,,,hCoV-19/England/CAMC-13FBF7E/2021,
,,EPI_ISL_1583930,,,hCoV-19/England/CAMC-14D2097/2021,
,,EPI_ISL_918584,,,hCoV-19/England/BIRM-68956/2021,
,,EPI_ISL_777190,,,hCoV-19/England/ALDP-C690AF/2020,
,,EPI_ISL_2006623,,,hCoV-19/England/HSLL-1532FC4/2021,
,,EPI_ISL_841243,,,hCoV-19/Wales/PHWC-4B4E58/2021,
,,EPI_ISL_1248859,,,hCoV-19/England/NORT-1B8A756/2021,
,,EPI_ISL_1504777,,,hCoV-19/England/CAMC-14A66E5/2021,
,,EPI_ISL_1386531,,,hCoV-19/England/BIRM-BCNNOM/2021,
,,EPI_ISL_950917,,,hCoV-19/England/OXON-F46A4D/2020,
,,EPI_ISL_1188369,,,hCoV-19/England/QEUH-132C7E5/2021,
,,EPI_ISL_770462,,,hCoV-19/England/205300064/2020,
,,EPI_ISL_1484896,,,hCoV-19/England/MILK-149A2D1/2021,
,,EPI_ISL_2138700,,,hCoV-19/England/MILK-1576708/2021,
,,EPI_ISL_1987190,,,hCoV-19/England/RAND-154BF40/2021,
,,EPI_ISL_1564584,,,hCoV-19/England/RAND-14D448A/2021,
,,EPI_ISL_2238770,,,hCoV-19/Scotland/EDB17953/2021,
,,EPI_ISL_1975075,,,hCoV-19/England/LOND-128DDD2/2021,
,,EPI_ISL_2640123,,,hCoV-19/Wales/MILK-1693BDB/2021,
,,EPI_ISL_1206384,,,hCoV-19/England/CAMC-13406FD/2021,
,,EPI_ISL_1719004,,,hCoV-19/England/CAMC-151066D/2021,
,,EPI_ISL_1275873,,,hCoV-19/England/RAND-137AC43/2021,
,,EPI_ISL_2624025,,,hCoV-19/England/NORW-13DE700/2021,
,,EPI_ISL_1584080,,,hCoV-19/England/CAMC-14D23F8/2021,
,,EPI_ISL_1177138,,,hCoV-19/England/ALDP-12C62FC/2021,
,,EPI_ISL_1985201,,,hCoV-19/England/MILK-152791F/2021,
,,EPI_ISL_1504674,,,hCoV-19/England/CAMC-14A526A/2021,
,,EPI_ISL_1978545,,,hCoV-19/England/NORT-1BA3F40/2021,
,,EPI_ISL_1718576,,,hCoV-19/England/ALDP-15138DD/2021,
,,EPI_ISL_1975064,,,hCoV-19/England/LOND-128DD4B/2021,
,,EPI_ISL_1975070,,,hCoV-19/England/LOND-128DD87/2021,
,,EPI_ISL_2737090,,,hCoV-19/England/PHEC-15974E/2021,
,,EPI_ISL_860693,,,hCoV-19/England/210290874/2021,
,,EPI_ISL_1224411,,,hCoV-19/England/MILK-1383DF9/2021,
,,EPI_ISL_1409646,,,hCoV-19/England/CAMC-142E17B/2021,
,,EPI_ISL_2121880,,,hCoV-19/England/MILK-156599D/2021,
,,EPI_ISL_1698524,,,hCoV-19/England/CAMC-1507DEC/2021,
,,EPI_ISL_1072923,,,hCoV-19/England/ALDP-12B9793/2021,
,,EPI_ISL_1700458,,,hCoV-19/England/CAMC-14F24B3/2021,
,,EPI_ISL_2092380,,,hCoV-19/England/RAND-1561DA4/2021,
,,EPI_ISL_1448857,,,hCoV-19/England/MILK-1466AE5/2021,
,,EPI_ISL_2395501,,,hCoV-19/England/MILK-15C32CF/2021,
,,EPI_ISL_1544239,,,hCoV-19/England/RAND-14CE3B3/2021,
,,EPI_ISL_1504437,,,hCoV-19/England/CAMC-14B1896/2021,
,,EPI_ISL_761059,,,hCoV-19/England/MILK-CAE2B7/2020,
,,EPI_ISL_812064,,,hCoV-19/England/MILK-E0B887/2020,
,,EPI_ISL_1831272,,,hCoV-19/England/MILK-1524402/2021,
,,EPI_ISL_825491,,,hCoV-19/England/210201050/2021,
,,EPI_ISL_1176677,,,hCoV-19/England/ALDP-12A2760/2021,
,,EPI_ISL_1376892,,,hCoV-19/England/RAND-13F20CF/2021,
,,EPI_ISL_1409240,,,hCoV-19/England/RAND-144E7EC/2021,
,,EPI_ISL_1409602,,,hCoV-19/England/CAMC-142E2A5/2021,
,,EPI_ISL_1912659,,,hCoV-19/Scotland/QEUH-154138A/2021,
,,EPI_ISL_998110,,,hCoV-19/England/MILK-11C9FF3/2021,
,,EPI_ISL_1467413,,,hCoV-19/England/RAND-1471C5A/2021,
,,EPI_ISL_1048134,,,hCoV-19/England/LOND-128A476/2021,
,,EPI_ISL_1189454,,,hCoV-19/England/MILK-1355103/2021,
,,EPI_ISL_2625587,,,hCoV-19/England/SHEF-10EAAA1/2021,
,,EPI_ISL_1631158,,,hCoV-19/England/CAMC-14E74C0/2021,
,,EPI_ISL_1504943,,,hCoV-19/England/CAMC-14ACDEA/2021,
,,EPI_ISL_821028,,,hCoV-19/England/ALDP-E2E5C3/2021,
,,EPI_ISL_2737535,,,hCoV-19/England/PHEC-15B5D9/2021,
,,EPI_ISL_1099755,,,hCoV-19/England/CAMC-12DFB40/2021,
,,EPI_ISL_863691,,,hCoV-19/England/MILK-FEBE3F/2021,
,,EPI_ISL_2121116,,,hCoV-19/England/MILK-1567272/2021,
,,EPI_ISL_1636558,,,hCoV-19/England/BIRM-BCN95A/2021,
,,EPI_ISL_804259,,,hCoV-19/England/210121130/2021,
,,EPI_ISL_1344668,,,hCoV-19/England/CAMC-13E7CAB/2021,
,,EPI_ISL_1416131,,,hCoV-19/Wales/CAMC-13FBBA7/2021,
,,EPI_ISL_1413444,,,hCoV-19/England/ALDP-142F532/2021,
,,EPI_ISL_945224,,,hCoV-19/England/MILK-D7FBC2/2020,
,,EPI_ISL_1247721,,,hCoV-19/Scotland/EDB16127/2021,
,,EPI_ISL_2736870,,,hCoV-19/England/PHEC-1585DC/2021,
,,EPI_ISL_920346,,,hCoV-19/England/LOND-13247ED/2021,
,,EPI_ISL_860691,,,hCoV-19/England/210290832/2021,
,,EPI_ISL_860694,,,hCoV-19/England/210290879/2021,
,,EPI_ISL_2736424,,,hCoV-19/England/PHEC-156F2B/2021,
,,EPI_ISL_1832559,,,hCoV-19/England/LOND-128DC3F/2021,
,,EPI_ISL_1505012,,,hCoV-19/England/CAMC-14ABC93/2021,
,,EPI_ISL_764279,,,hCoV-19/Scotland/EDB11343/2020,
,,EPI_ISL_1534975,,,hCoV-19/England/CAMC-14C9A77/2021,
,,EPI_ISL_1177749,,,hCoV-19/Scotland/EDB16115/2021,
,,EPI_ISL_1483836,,,hCoV-19/England/CAMC-149AEBF/2021,
,,EPI_ISL_1504799,,,hCoV-19/England/CAMC-14A4F73/2021,
,,EPI_ISL_1504929,,,hCoV-19/England/MILK-148BF81/2021,
,,EPI_ISL_1519106,,,hCoV-19/England/MILK-14A3C9B/2021,
,,EPI_ISL_2253224,,,hCoV-19/England/HSLL-1597613/2021,
,,EPI_ISL_839921,,,hCoV-19/England/NORW-224F34/2021,
,,EPI_ISL_2486232,,,hCoV-19/England/QEUH-16288E3/2021,
,,EPI_ISL_1275891,,,hCoV-19/England/CAMC-139526E/2021,
,,EPI_ISL_840918,,,hCoV-19/Wales/PHWC-4B3527/2021,
,,EPI_ISL_2004574,,,hCoV-19/England/RAND-1555E73/2021,
,,EPI_ISL_2005383,,,hCoV-19/England/HSLL-153F361/2021,
,,EPI_ISL_1583928,,,hCoV-19/England/CAMC-14D262C/2021,
,,EPI_ISL_1072710,,,hCoV-19/England/RAND-12B3E94/2021,
,,EPI_ISL_2239129,,,hCoV-19/Northern Ireland/NIRE-000199/2021,
,,EPI_ISL_1256463,,,hCoV-19/England/CAMC-130E93E/2021,
,,EPI_ISL_1247720,,,hCoV-19/Scotland/EDB16125/2021,
,,EPI_ISL_2238512,,,hCoV-19/Scotland/QEUH-156D3C4/2021,
,,EPI_ISL_10127908,,,hCoV-19/Northern Ireland/NIRE-0033cc/2021,
,,EPI_ISL_1100065,,,hCoV-19/England/CAMC-12DFBAA/2021,
,,EPI_ISL_1099931,,,hCoV-19/England/CAMC-12DF8A3/2021,
,,EPI_ISL_2127608,,,hCoV-19/England/NOTT-254135/2021,
,,EPI_ISL_1652989,,,hCoV-19/England/CAMC-14F84F9/2021,
,,EPI_ISL_1256434,,,hCoV-19/England/CAMC-130E95C/2021,
,,EPI_ISL_2737532,,,hCoV-19/England/PHEC-15B5AC/2021,
,,EPI_ISL_2004390,,,hCoV-19/England/ALDP-1559EAC/2021,
,,EPI_ISL_2511447,,,hCoV-19/England/MILK-1633B73/2021,
,,EPI_ISL_813885,,,hCoV-19/England/LOND-126B596/2020,
,,EPI_ISL_1467751,,,hCoV-19/England/CAMC-1383078/2021,
,,EPI_ISL_1006970,,,hCoV-19/England/MILK-120617B/2021,
,,EPI_ISL_1700449,,,hCoV-19/England/CAMC-14F240E/2021,
,,EPI_ISL_1698881,,,hCoV-19/England/QEUH-14FF489/2021,
,,EPI_ISL_2514826,,,hCoV-19/England/MILK-162AA45/2021,
,,EPI_ISL_1376969,,,hCoV-19/England/CAMC-13EEC3B/2021,
,,EPI_ISL_1730899,,,hCoV-19/England/PORT-1E7F5B1/2021,
,,EPI_ISL_1329303,,,hCoV-19/England/CAMC-13B8362/2021,
,,EPI_ISL_766245,,,hCoV-19/England/205221138/2020,
,,EPI_ISL_811124,,,hCoV-19/England/210190688/2021,
,,EPI_ISL_825551,,,hCoV-19/England/210201123/2021,
,,EPI_ISL_836285,,,hCoV-19/England/MILK-ECDFC8/2021,
,,EPI_ISL_864256,,,hCoV-19/England/MILK-FAEB04/2021,
,,EPI_ISL_1519117,,,hCoV-19/England/MILK-14A44B0/2021,
,,EPI_ISL_2733088,,,hCoV-19/England/BHRT-24BBD12/2021,
,,EPI_ISL_1806808,,,hCoV-19/England/MILK-152C6B9/2021,
,,EPI_ISL_2005453,,,hCoV-19/England/HSLL-153F57A/2021,
,,EPI_ISL_2238584,,,hCoV-19/England/ALDP-156BF4A/2021,
,,EPI_ISL_1243872,,,hCoV-19/England/ALDP-136EBAF/2021,
,,EPI_ISL_1224310,,,hCoV-19/England/MILK-1383A4D/2021,
,,EPI_ISL_852547,,,hCoV-19/England/QEUH-F6AE1A/2021,
,,EPI_ISL_2238946,,,hCoV-19/England/LOND-128E80D/2021,
,,EPI_ISL_2608284,,,hCoV-19/England/MILK-152A9A3/2021,
,,EPI_ISL_2736007,,,hCoV-19/England/PHEC-155CBC/2021,
,,EPI_ISL_907679,,,hCoV-19/England/QEUH-10F0ECA/2021,
,,EPI_ISL_999515,,,hCoV-19/Wales/PHWC-4B7198/2021,
,,EPI_ISL_2005217,,,hCoV-19/England/QEUH-153DBE3/2021,
,,EPI_ISL_997144,,,hCoV-19/Scotland/EDB14798/2021,
,,EPI_ISL_2317085,,,hCoV-19/England/MILK-15A4349/2021,
,,EPI_ISL_2172315,,,hCoV-19/England/MILK-15378D3/2021,
,,EPI_ISL_1206127,,,hCoV-19/England/CAMC-1359521/2021,
,,EPI_ISL_2738659,,,hCoV-19/England/PHEC-2F9BAD/2021,
,,EPI_ISL_2236615,,,hCoV-19/England/MILK-158ECE0/2021,
,,EPI_ISL_1333789,,,hCoV-19/England/CAMC-1348886/2021,
,,EPI_ISL_923815,,,hCoV-19/England/QEUH-10327A3/2021,
,,EPI_ISL_1451716,,,hCoV-19/England/RAND-1459E52/2021,
,,EPI_ISL_1018900,,,hCoV-19/England/CAMC-126377A/2021,
,,EPI_ISL_2738128,,,hCoV-19/England/PHEC-2F7671/2021,
,,EPI_ISL_1309726,,,hCoV-19/England/NOTT-2522F8/2021,
,,EPI_ISL_1564401,,,hCoV-19/England/RAND-14D444E/2021,
,,EPI_ISL_909069,,,hCoV-19/England/QEUH-109C200/2021,
,,EPI_ISL_1473527,,,hCoV-19/England/CAMC-1483DAD/2021,
,,EPI_ISL_2742239,,,hCoV-19/England/PHEC-30C98E/2021,
,,EPI_ISL_2703634,,,hCoV-19/England/MILK-172ED1A/2021,
,,EPI_ISL_1326996,,,hCoV-19/England/ALDP-13DAACF/2021,
,,EPI_ISL_1474879,,,hCoV-19/England/LOND-12FDEBC/2021,
,,EPI_ISL_1327431,,,hCoV-19/England/CAMC-13D3DAF/2021,
,,EPI_ISL_1343866,,,hCoV-19/England/MILK-13FC7DF/2021,
,,EPI_ISL_1484487,,,hCoV-19/England/CAMC-144B3DC/2021,
,,EPI_ISL_2006605,,,hCoV-19/England/HSLL-15328F6/2021,
,,EPI_ISL_1719680,,,hCoV-19/England/CAMC-150D627/2021,
,,EPI_ISL_1206351,,,hCoV-19/England/CAMC-134087F/2021,
,,EPI_ISL_1698177,,,hCoV-19/England/MILK-150A7CD/2021,
,,EPI_ISL_1377015,,,hCoV-19/England/CAMC-13EE80A/2021,
,,EPI_ISL_1377694,,,hCoV-19/England/ALDP-1401C04/2021,
,,EPI_ISL_2437128,,,hCoV-19/England/HSLL-15BC320/2021,
,,EPI_ISL_2437088,,,hCoV-19/England/HSLL-15BC1EA/2021,
,,EPI_ISL_1697912,,,hCoV-19/England/CAMC-15029A1/2021,
,,EPI_ISL_1316192,,,hCoV-19/England/CAMC-13A4712/2021,
,,EPI_ISL_998864,,,hCoV-19/England/NORW-22A43F/2021,
,,EPI_ISL_945182,,,hCoV-19/England/MILK-F6DDFC/2021,
,,EPI_ISL_2518478,,,hCoV-19/England/NORT-1BCAD1C/2021,
,,EPI_ISL_937738,,,hCoV-19/England/ALDP-115D440/2021,
,,EPI_ISL_1831309,,,hCoV-19/England/HSLL-151942E/2021,
,,EPI_ISL_1333010,,,hCoV-19/England/QEUH-134916C/2021,
,,EPI_ISL_989987,,,hCoV-19/Scotland/QEUH-F38905/2020,
,,EPI_ISL_1326944,,,hCoV-19/England/CAMC-13DC7E4/2021,
,,EPI_ISL_2570464,,,hCoV-19/England/MILK-1658E33/2021,
,,EPI_ISL_1538091,,,hCoV-19/Wales/CAMC-14ACD53/2021,
,,EPI_ISL_2737500,,,hCoV-19/England/PHEC-15B384/2021,
,,EPI_ISL_1594769,,,hCoV-19/England/CAMC-14E31DC/2021,
,,EPI_ISL_1631640,,,hCoV-19/England/MILK-14BF76E/2021,
,,EPI_ISL_1653114,,,hCoV-19/England/CAMC-14E6968/2021,
,,EPI_ISL_1806018,,,hCoV-19/England/MILK-15259B7/2021,
,,EPI_ISL_2608288,,,hCoV-19/Wales/CAMC-15029CF/2021,
,,EPI_ISL_819798,,,hCoV-19/England/OXON-F440A7/2020,
,,EPI_ISL_2240673,,,hCoV-19/England/PORT-2F11B2/2021,
,,EPI_ISL_3776829,,,hCoV-19/England/PHEC-U307UD5A/2021,
,,EPI_ISL_2569784,,,hCoV-19/England/MILK-16848E5/2021,
,,EPI_ISL_2005592,,,hCoV-19/England/HSLL-153F219/2021,
,,EPI_ISL_879979,,,hCoV-19/England/ALDP-101BD44/2021,
,,EPI_ISL_879001,,,hCoV-19/England/MILK-10504A8/2021,
,,EPI_ISL_2022312,,,hCoV-19/England/ALDP-155C9A8/2021,
,,EPI_ISL_2622410,,,hCoV-19/England/LIVE-E15732/2021,
,,EPI_ISL_2767868,,,hCoV-19/England/MILK-17820FD/2021,
,,EPI_ISL_2623677,,,hCoV-19/England/NORW-13D4791/2021,
,,EPI_ISL_1263895,,,hCoV-19/England/CAMC-1397105/2021,
,,EPI_ISL_1831366,,,hCoV-19/England/HSLL-150FCD8/2021,
,,EPI_ISL_1052971,,,hCoV-19/Wales/PHWC-4C8FA9/2021,
,,EPI_ISL_1538069,,,hCoV-19/Wales/CAMC-14ABF5E/2021,
,,EPI_ISL_1053108,,,hCoV-19/Wales/PHWC-4C9CCF/2021,
,,EPI_ISL_2568858,,,hCoV-19/England/MILK-167A9D0/2021,
,,EPI_ISL_865528,,,hCoV-19/England/LOND-1288C16/2020,
,,EPI_ISL_1985616,,,hCoV-19/England/MILK-153E9F7/2021,
,,EPI_ISL_1108002,,,hCoV-19/England/QEUH-121D584/2021,
,,EPI_ISL_1046452,,,hCoV-19/England/RAND-11ED6A9/2021,
,,EPI_ISL_1329358,,,hCoV-19/England/CAMC-13B69F9/2021,
,,EPI_ISL_834609,,,hCoV-19/England/QEUH-EF8E9A/2021,
,,EPI_ISL_1257060,,,hCoV-19/England/CAMC-1396142/2021,
,,EPI_ISL_1179852,,,hCoV-19/England/PORT-2F0371/2021,
,,EPI_ISL_2121540,,,hCoV-19/Scotland/MILK-15674A9/2021,
,,EPI_ISL_2121098,,,hCoV-19/England/MILK-1567719/2021,
,,EPI_ISL_1099777,,,hCoV-19/England/CAMC-12DF876/2021,
,,EPI_ISL_1389532,,,hCoV-19/England/RAND-1421406/2021,
,,EPI_ISL_2138221,,,hCoV-19/England/MILK-1577D50/2021,
,,EPI_ISL_2137970,,,hCoV-19/England/MILK-157B141/2021,
,,EPI_ISL_837087,,,hCoV-19/England/210260926/2021,
,,EPI_ISL_1107279,,,hCoV-19/Wales/PHWC-4D24CB/2021,
,,EPI_ISL_1327433,,,hCoV-19/England/CAMC-13D4227/2021,
,,EPI_ISL_1205910,,,hCoV-19/England/ALDP-136D6DC/2021,
,,EPI_ISL_770439,,,hCoV-19/England/205280028/2020,
,,EPI_ISL_1255996,,,hCoV-19/England/ALDP-13A3CBA/2021,
,,EPI_ISL_770463,,,hCoV-19/England/205300065/2020,
,,EPI_ISL_777282,,,hCoV-19/England/ALDP-C690DC/2020,
,,EPI_ISL_814332,,,hCoV-19/Wales/PHWC-4A8A17/2020,
,,EPI_ISL_1534928,,,hCoV-19/England/CAMC-14C9D8D/2021,
,,EPI_ISL_1244865,,,hCoV-19/England/CAMC-137A742/2021,
,,EPI_ISL_2238083,,,hCoV-19/England/MILK-1571DA1/2021,
,,EPI_ISL_1376980,,,hCoV-19/England/CAMC-13EF05C/2021,
,,EPI_ISL_1329061,,,hCoV-19/England/CAMC-13B6A50/2021,
,,EPI_ISL_1329337,,,hCoV-19/England/CAMC-13B7767/2021,
,,EPI_ISL_1741378,,,hCoV-19/England/RAND-1515765/2021,
,,EPI_ISL_1740535,,,hCoV-19/England/RAND-1520521/2021,
,,EPI_ISL_2005572,,,hCoV-19/England/HSLL-153F598/2021,
,,EPI_ISL_997150,,,hCoV-19/Scotland/EDB14805/2021,
,,EPI_ISL_821134,,,hCoV-19/England/ALDP-E2E596/2021,
,,EPI_ISL_1489426,,,hCoV-19/England/RAND-1485A77/2021,
,,EPI_ISL_2456639,,,hCoV-19/England/MILK-1604DDF/2021,
,,EPI_ISL_1409650,,,hCoV-19/England/ALDP-142ADB7/2021,
,,EPI_ISL_1386525,,,hCoV-19/England/BIRM-BCNNDG/2021,
,,EPI_ISL_1386526,,,hCoV-19/England/BIRM-BCNNEH/2021,
,,EPI_ISL_846597,,,hCoV-19/England/210220684/2021,
,,EPI_ISL_1411456,,,hCoV-19/England/RAND-143D20D/2021,
,,EPI_ISL_1473641,,,hCoV-19/England/CAMC-145B7CE/2021,
,,EPI_ISL_1377152,,,hCoV-19/England/CAMC-13EE873/2021,
,,EPI_ISL_1247722,,,hCoV-19/Scotland/EDB16128/2021,
,,EPI_ISL_1583961,,,hCoV-19/England/CAMC-14D210D/2021,
,,EPI_ISL_2740310,,,hCoV-19/England/PHEC-3022E7/2021,
,,EPI_ISL_1583953,,,hCoV-19/England/CAMC-14D24E6/2021,
,,EPI_ISL_1583977,,,hCoV-19/England/CAMC-14D2185/2021,
,,EPI_ISL_1062019,,,hCoV-19/England/ALDP-12AAB4E/2021,
,,EPI_ISL_762499,,,hCoV-19/England/MILK-CA9BB1/2020,
,,EPI_ISL_2740307,,,hCoV-19/England/PHEC-3022AB/2021,
,,EPI_ISL_837073,,,hCoV-19/England/210220678/2021,
,,EPI_ISL_1453780,,,hCoV-19/England/ALDP-1448919/2021,
,,EPI_ISL_1330694,,,hCoV-19/England/MILK-13C9C36/2021,
,,EPI_ISL_1084710,,,hCoV-19/Wales/ALDP-12BAAA8/2021,
,,EPI_ISL_1697717,,,hCoV-19/England/CAMC-1503603/2021,
,,EPI_ISL_1454548,,,hCoV-19/England/ALDP-143CD76/2021,
,,EPI_ISL_1454252,,,hCoV-19/England/CAMC-143E54F/2021,
,,EPI_ISL_1454309,,,hCoV-19/England/CAMC-142DF54/2021,
,,EPI_ISL_963418,,,hCoV-19/England/MILK-11A0639/2021,
,,EPI_ISL_2765728,,,hCoV-19/England/MILK-17B3F9C/2021,
,,EPI_ISL_1102670,,,hCoV-19/Scotland/QEUH-12C89F5/2021,
,,EPI_ISL_3070087,,,hCoV-19/England/BRBR-193E049/2021,
,,EPI_ISL_1043376,,,hCoV-19/England/RAND-1288B19/2021,
,,EPI_ISL_1483857,,,hCoV-19/England/CAMC-149BA32/2021,
,,EPI_ISL_1033469,,,hCoV-19/England/CAMC-12718B2/2021,
,,EPI_ISL_867681,,,hCoV-19/Wales/PHWC-4B9828/2021,
,,EPI_ISL_1483880,,,hCoV-19/England/RAND-149BFAC/2021,
,,EPI_ISL_2436953,,,hCoV-19/England/HSLL-15BC27E/2021,
,,EPI_ISL_1487871,,,hCoV-19/England/CAMC-145BA2F/2021,
,,EPI_ISL_1083993,,,hCoV-19/England/MILK-12BE989/2021,
,,EPI_ISL_1467261,,,hCoV-19/England/RAND-1472FBA/2021,
,,EPI_ISL_762362,,,hCoV-19/England/MILK-CA9C09/2020,
,,EPI_ISL_1505090,,,hCoV-19/England/CAMC-14ACC47/2021,
,,EPI_ISL_1006475,,,hCoV-19/England/MILK-11C2F63/2021,
,,EPI_ISL_1535274,,,hCoV-19/England/ALDP-14CBE6A/2021,
,,EPI_ISL_1346302,,,hCoV-19/England/ALDP-13DAA65/2021,
,,EPI_ISL_1044913,,,hCoV-19/England/ALDP-128F0D7/2021,
,,EPI_ISL_825550,,,hCoV-19/England/210201142/2021,
,,EPI_ISL_1584048,,,hCoV-19/England/CAMC-14D2079/2021,
,,EPI_ISL_2736923,,,hCoV-19/England/PHEC-1589B2/2021,
,,EPI_ISL_841241,,,hCoV-19/Wales/PHWC-4B4E3A/2021,
,,EPI_ISL_2006576,,,hCoV-19/England/HSLL-1532F1F/2021,
,,EPI_ISL_1518044,,,hCoV-19/England/CAMC-14B5926/2021,
,,EPI_ISL_1342874,,,hCoV-19/England/MILK-1405EFB/2021,
,,EPI_ISL_1730826,,,hCoV-19/England/PORT-1E6F99A/2021,
,,EPI_ISL_1327555,,,hCoV-19/England/CAMC-13D37A1/2021,
,,EPI_ISL_3777017,,,hCoV-19/England/PHEC-U308UA07/2021,
,,EPI_ISL_918751,,,hCoV-19/England/BIRM-6E47D/2020,
,,EPI_ISL_923997,,,hCoV-19/England/QEUH-1033924/2021,
,,EPI_ISL_1377505,,,hCoV-19/England/MILK-14016AC/2021,
,,EPI_ISL_1535667,,,hCoV-19/England/QEUH-14C42B0/2021,
,,EPI_ISL_2539189,,,hCoV-19/England/MILK-1605891/2021,
,,EPI_ISL_1584000,,,hCoV-19/England/CAMC-14D1D64/2021,
,,EPI_ISL_1741978,,,hCoV-19/Scotland/QEUH-14FF2CB/2021,
,,EPI_ISL_1107018,,,hCoV-19/England/PHWC-4D1383/2021,
,,EPI_ISL_1546754,,,hCoV-19/Wales/PHWC-PYN64X/2021,
,,EPI_ISL_2006595,,,hCoV-19/England/HSLL-1532FD3/2021,
,,EPI_ISL_1409522,,,hCoV-19/England/CAMC-141D18E/2021,
,,EPI_ISL_1564530,,,hCoV-19/England/RAND-14D44B7/2021,
,,EPI_ISL_1564632,,,hCoV-19/England/ALDP-14D494F/2021,
,,EPI_ISL_1342959,,,hCoV-19/England/MILK-1405E37/2021,
,,EPI_ISL_2736559,,,hCoV-19/England/PHEC-15741C/2021,
,,EPI_ISL_1790972,,,hCoV-19/England/MILK-152495E/2021,
,,EPI_ISL_1616552,,,hCoV-19/Wales/CAMC-14D20A6/2021,
,,EPI_ISL_1473795,,,hCoV-19/England/CAMC-145BCFC/2021,
,,EPI_ISL_5479908,,,hCoV-19/England/PHEC-3L04AL56/2021,
,,EPI_ISL_2738158,,,hCoV-19/England/PHEC-2F791E/2021,
,,EPI_ISL_2119820,,,hCoV-19/England/MILK-1568F01/2021,
,,EPI_ISL_2126031,,,hCoV-19/England/LOND-128E041/2021,
,,EPI_ISL_2126119,,,hCoV-19/England/LOND-128E506/2021,
,,EPI_ISL_10127907,,,hCoV-19/Northern Ireland/NIRE-0033cb/2021,
,,EPI_ISL_2740296,,,hCoV-19/England/PHEC-3021DB/2021,
,,EPI_ISL_1535832,,,hCoV-19/England/MILK-14C2021/2021,
,,EPI_ISL_924642,,,hCoV-19/England/TFCI-27013EB/2021,
,,EPI_ISL_1584146,,,hCoV-19/England/CAMC-14C2D48/2021,
,,EPI_ISL_2091925,,,hCoV-19/England/MILK-1560974/2021,
,,EPI_ISL_2092143,,,hCoV-19/England/RAND-1561EA1/2021,
,,EPI_ISL_2092459,,,hCoV-19/England/RAND-1561E56/2021,
,,EPI_ISL_2447339,,,hCoV-19/England/PLYM-15BA4F2/2021,
,,EPI_ISL_1759348,,,hCoV-19/England/MILK-151C31F/2021,
,,EPI_ISL_1467720,,,hCoV-19/England/CAMC-1383193/2021,
,,EPI_ISL_3960543,,,hCoV-19/England/PHEC-YYBY6P8/2021,
,,EPI_ISL_2138060,,,hCoV-19/England/MILK-15794D1/2021,
,,EPI_ISL_2152662,,,hCoV-19/Wales/MILK-157B5DC/2021,
,,EPI_ISL_1700217,,,hCoV-19/England/CAMC-14F2626/2021,
,,EPI_ISL_799908,,,hCoV-19/England/ALDP-CE20EA/2020,
,,EPI_ISL_837058,,,hCoV-19/England/210260996/2021,
,,EPI_ISL_919346,,,hCoV-19/Scotland/EDB13487/2021,
,,EPI_ISL_919406,,,hCoV-19/Scotland/EDB14638/2020,
,,EPI_ISL_1333129,,,hCoV-19/England/QEUH-13491F3/2021,
,,EPI_ISL_1546755,,,hCoV-19/Wales/PHWC-PYN65P/2021,
,,EPI_ISL_997145,,,hCoV-19/Scotland/EDB14799/2021,
,,EPI_ISL_997128,,,hCoV-19/Scotland/EDB14779/2021,
,,EPI_ISL_1275630,,,hCoV-19/England/CAMC-13A4150/2021,
,,EPI_ISL_1454209,,,hCoV-19/England/CAMC-142E366/2021,
,,EPI_ISL_1386530,,,hCoV-19/England/BIRM-BCNNJ4/2021,
,,EPI_ISL_2606787,,,hCoV-19/England/MILK-1697603/2021,
,,EPI_ISL_1178852,,,hCoV-19/England/OXON-F6B981/2021,
,,EPI_ISL_1106979,,,hCoV-19/Wales/PHWC-4D10AA/2021,
,,EPI_ISL_2749594,,,hCoV-19/England/PHESW-YYBY189/2021,
,,EPI_ISL_2352955,,,hCoV-19/England/MILK-15B9D43/2021,
,,EPI_ISL_985884,,,hCoV-19/England/ALDP-121DAFE/2021,
,,EPI_ISL_1052554,,,hCoV-19/Wales/PHWC-4C748D/2021,
,,EPI_ISL_1207494,,,hCoV-19/England/MILK-133E9AE/2021,
,,EPI_ISL_1410157,,,hCoV-19/England/CAMC-141C0EC/2021,
,,EPI_ISL_3613399,,,hCoV-19/Cayman Islands/21182/2021,
,,EPI_ISL_1631958,,,hCoV-19/England/RAND-14DD65E/2021,
,,EPI_ISL_825573,,,hCoV-19/England/210201122/2021,
,,EPI_ISL_957965,,,hCoV-19/England/MILK-11C5B11/2021,
,,EPI_ISL_1487865,,,hCoV-19/England/CAMC-145B9AA/2021,
,,EPI_ISL_1806369,,,hCoV-19/England/MILK-1529A47/2021,
,,EPI_ISL_1544473,,,hCoV-19/England/RAND-14CE007/2021,
,,EPI_ISL_1653455,,,hCoV-19/England/CAMC-14F39D1/2021,
