,authors,genbankAccession,gisaidEpiIsl,originatingLab,sraAccession,strain,submittingLab,lineage
1155,,,EPI_ISL_11591336,,,hCoV-19/England/LSPA-3C466AD/2022,,ba_2
1156,,,EPI_ISL_12281165,,,hCoV-19/England/LSPA-3D9C258/2022,,ba_2
1157,,,EPI_ISL_11602033,,,hCoV-19/England/LSPA-3C2B574/2022,,ba_2
1158,,,EPI_ISL_13613909,,,hCoV-19/England/QEUH-3E8BE84/2022,,ba_2
1159,,,EPI_ISL_11127973,,,hCoV-19/Scotland/QEUH-39D8649/2022,,ba_2
1160,,,EPI_ISL_13277676,,,hCoV-19/Scotland/QEUH-3E424F0/2022,,ba_2
1161,,,EPI_ISL_11128401,,,hCoV-19/England/MILK-3A285C4/2022,,ba_2
1162,,,EPI_ISL_10178193,,,hCoV-19/Northern Ireland/NIRE-0191f2/2022,,ba_2
1163,,,EPI_ISL_10726229,,,hCoV-19/England/PLYM-38A9C8C/2022,,ba_2
1164,,,EPI_ISL_10513819,,,hCoV-19/Scotland/SCOT-5475/2022,,ba_2
1165,,,EPI_ISL_10964805,,,hCoV-19/England/LSPA-393761B/2022,,ba_2
1166,,,EPI_ISL_18021053,,,hCoV-19/England/QEUH-2E9FB2B2/2022,,ba_2
1167,,,EPI_ISL_11112057,,,hCoV-19/England/PHEC-YYDR959/2022,,ba_2
1168,,,EPI_ISL_9893936,,,hCoV-19/England/QEUH-3613092/2022,,ba_2
1169,,,EPI_ISL_11393541,,,hCoV-19/England/LSPA-3B4DAF6/2022,,ba_2
1170,,,EPI_ISL_11753123,,,hCoV-19/Wales/PHWC-PJMGFZ/2022,,ba_2
1171,,,EPI_ISL_10287497,,,hCoV-19/England/MILK-375F266/2022,,ba_2
1172,,,EPI_ISL_11188520,,,hCoV-19/Scotland/QEUH-3A622F4/2022,,ba_2
1173,,,EPI_ISL_11432916,,,hCoV-19/England/QEUH-3B7E27C/2022,,ba_2
1174,,,EPI_ISL_11448029,,,hCoV-19/England/LSPA-3BAF4C7/2022,,ba_2
1175,,,EPI_ISL_12777253,,,hCoV-19/England/QEUH-3CD98C7/2022,,ba_2
1176,,,EPI_ISL_12403035,,,hCoV-19/England/PHEC-YYR3FKO/2022,,ba_2
1177,,,EPI_ISL_10979286,,,hCoV-19/England/BRBR-395A83A/2022,,ba_2
1178,,,EPI_ISL_18088231,,,hCoV-19/England/LSPA-3F884FD/2022,,ba_2
1179,,,EPI_ISL_12031705,,,hCoV-19/Wales/PHWC-PJUWU5/2022,,ba_2
1180,,,EPI_ISL_11285703,,,hCoV-19/Scotland/QEUH-3A9A132/2022,,ba_2
1181,,,EPI_ISL_11420886,,,hCoV-19/England/LSPA-3B69F04/2022,,ba_2
1182,,,EPI_ISL_10414886,,,hCoV-19/England/ALDP-37C4493/2022,,ba_2
1183,,,EPI_ISL_11195418,,,hCoV-19/England/BRBR-3A37F00/2022,,ba_2
1184,,,EPI_ISL_10976864,,,hCoV-19/England/MILK-395CF24/2022,,ba_2
1185,,,EPI_ISL_17667118,,,hCoV-19/Scotland/SCOT-30414/2023,,ba_2
1186,,,EPI_ISL_11881124,,,hCoV-19/England/PHEP-YYRWT4P/2022,,ba_2
1187,,,EPI_ISL_11514022,,,hCoV-19/England/BRBR-3BB6A52/2022,,ba_2
1188,,,EPI_ISL_11692701,,,hCoV-19/Scotland/QEUH-3C621E6/2022,,ba_2
1189,,,EPI_ISL_10960867,,,hCoV-19/England/LSPA-3912476/2022,,ba_2
1190,,,EPI_ISL_11045896,,,hCoV-19/Scotland/QEUH-39658C3/2022,,ba_2
1191,,,EPI_ISL_11745476,,,hCoV-19/England/PHEC-YYDIHRQ/2022,,ba_2
1192,,,EPI_ISL_11084991,,,hCoV-19/England/PLYM-39ED3FF/2022,,ba_2
1193,,,EPI_ISL_11185159,,,hCoV-19/England/BRBR-3A6FD8D/2022,,ba_2
1194,,,EPI_ISL_12469837,,,hCoV-19/England/LSPA-3DD1970/2022,,ba_2
1195,,,EPI_ISL_12586405,,,hCoV-19/Wales/PHWC-PJ4H5I/2022,,ba_2
1196,,,EPI_ISL_11305835,,,hCoV-19/England/HSLL-3AE844B/2022,,ba_2
1197,,,EPI_ISL_11655926,,,hCoV-19/England/PHEC-YYDU7DU/2022,,ba_2
1198,,,EPI_ISL_12281111,,,hCoV-19/England/LSPA-3D9CF42/2022,,ba_2
1199,,,EPI_ISL_18026652,,,hCoV-19/England/QEUH-2EA0A2DD/2022,,ba_2
1200,,,EPI_ISL_10474009,,,hCoV-19/Scotland/QEUH-370E099/2022,,ba_2
1201,,,EPI_ISL_12772505,,,hCoV-19/Scotland/LSPA-3E11CA7/2022,,ba_2
1202,,,EPI_ISL_11417595,,,hCoV-19/England/LSPA-3B89AEF/2022,,ba_2
1203,,,EPI_ISL_12236225,,,hCoV-19/England/LSPA-3D7DEFF/2022,,ba_2
1204,,,EPI_ISL_11545592,,,hCoV-19/England/LSPA-3C04B42/2022,,ba_2
1205,,,EPI_ISL_11124417,,,hCoV-19/England/LSPA-3A3A019/2022,,ba_2
1206,,,EPI_ISL_10970179,,,hCoV-19/England/MILK-397F88A/2022,,ba_2
1207,,,EPI_ISL_11754352,,,hCoV-19/Scotland/SCOT-7798/2022,,ba_2
1208,,,EPI_ISL_11688823,,,hCoV-19/England/LSPA-3C78DDA/2022,,ba_2
1209,,,EPI_ISL_10516796,,,hCoV-19/England/MILK-382CD60/2022,,ba_2
1210,,,EPI_ISL_18023762,,,hCoV-19/England/QEUH-2EA41128/2022,,ba_2
1211,,,EPI_ISL_9728176,,,hCoV-19/Scotland/QEUH-35337E3/2022,,ba_2
1212,,,EPI_ISL_10669819,,,hCoV-19/England/DHSC-CYB1SSM/2022,,ba_2
1213,,,EPI_ISL_11395228,,,hCoV-19/England/MILK-3B46969/2022,,ba_2
1214,,,EPI_ISL_11642601,,,hCoV-19/England/ALDP-3C44A76/2022,,ba_2
1215,,,EPI_ISL_10883600,,,hCoV-19/England/MILK-39005A5/2022,,ba_2
1216,,,EPI_ISL_12777066,,,hCoV-19/England/QEUH-3CDB3A6/2022,,ba_2
1217,,,EPI_ISL_16633669,,,hCoV-19/England/BRBR-326A107B/2023,,ba_2
1218,,,EPI_ISL_11599527,,,hCoV-19/Scotland/QEUH-3C374C3/2022,,ba_2
1219,,,EPI_ISL_9898542,,,hCoV-19/Scotland/QEUH-35F1E0A/2022,,ba_2
1220,,,EPI_ISL_16866972,,,hCoV-19/England/BRBR-326B6F1C/2023,,ba_2
1221,,,EPI_ISL_11602329,,,hCoV-19/Wales/PHWC-PJ87UM/2022,,ba_2
1222,,,EPI_ISL_12775472,,,hCoV-19/England/QEUH-3CEAF0A/2022,,ba_2
1223,,,EPI_ISL_18026242,,,hCoV-19/Scotland/QEUH-2EA633DF/2022,,ba_2
1224,,,EPI_ISL_11644702,,,hCoV-19/England/ALDP-3C46C50/2022,,ba_2
1225,,,EPI_ISL_10644067,,,hCoV-19/England/QEUH-38673FE/2022,,ba_2
1226,,,EPI_ISL_11637883,,,hCoV-19/England/LSPA-3C6F5A1/2022,,ba_2
1227,,,EPI_ISL_10413200,,,hCoV-19/England/ALDP-37D7E35/2022,,ba_2
1228,,,EPI_ISL_11545364,,,hCoV-19/England/QEUH-3C2651F/2022,,ba_2
1229,,,EPI_ISL_12777268,,,hCoV-19/England/QEUH-3CD995B/2022,,ba_2
1230,,,EPI_ISL_10413899,,,hCoV-19/England/LSPA-37E1472/2022,,ba_2
1231,,,EPI_ISL_11186847,,,hCoV-19/Scotland/QEUH-3A67B8B/2022,,ba_2
1232,,,EPI_ISL_11772100,,,hCoV-19/Scotland/QEUH-3CD2688/2022,,ba_2
1233,,,EPI_ISL_10414953,,,hCoV-19/England/MILK-37CFB57/2022,,ba_2
1234,,,EPI_ISL_9823879,,,hCoV-19/England/QEUH-35892FC/2022,,ba_2
1235,,,EPI_ISL_12445108,,,hCoV-19/England/PHEC-YYRH451/2022,,ba_2
1236,,,EPI_ISL_11377086,,,hCoV-19/England/PHEC-YYDM6OE/2022,,ba_2
1237,,,EPI_ISL_16441965,,,hCoV-19/England/LSPA-3266A5D9/2022,,ba_2
1238,,,EPI_ISL_11878695,,,hCoV-19/England/PHEC-YYDH7KU/2022,,ba_2
1239,,,EPI_ISL_12838368,,,hCoV-19/Scotland/QEUH-3E17430/2022,,ba_2
1240,,,EPI_ISL_12631078,,,hCoV-19/Northern Ireland/QEUH-3DD32EC/2022,,ba_2
1241,,,EPI_ISL_11433141,,,hCoV-19/England/LSPA-3B9982E/2022,,ba_2
1242,,,EPI_ISL_12554256,,,hCoV-19/England/QEUH-3D45BBD/2022,,ba_2
1243,,,EPI_ISL_11400253,,,hCoV-19/Scotland/QEUH-3B1317C/2022,,ba_2
1244,,,EPI_ISL_10541240,,,hCoV-19/Scotland/QEUH-37755E9/2022,,ba_2
1245,,,EPI_ISL_12698494,,,hCoV-19/England/LSPA-3E096A4/2022,,ba_2
1246,,,EPI_ISL_11700760,,,hCoV-19/England/LSPA-3C7EEFF/2022,,ba_2
1247,,,EPI_ISL_16525830,,,hCoV-19/England/PHEP-YYGR5Q5/2022,,ba_2
1248,,,EPI_ISL_10003633,,,hCoV-19/England/LSPA-36424BC/2022,,ba_2
1249,,,EPI_ISL_10802260,,,hCoV-19/Scotland/QEUH-388EEA5/2022,,ba_2
1250,,,EPI_ISL_10246101,,,hCoV-19/England/MILK-36FDF19/2022,,ba_2
1251,,,EPI_ISL_11187405,,,hCoV-19/Scotland/QEUH-3A68A7E/2022,,ba_2
1252,,,EPI_ISL_11272758,,,hCoV-19/England/MILK-3AC52D1/2022,,ba_2
1253,,,EPI_ISL_18085464,,,hCoV-19/Scotland/QEUH-2E9D6596/2022,,ba_2
1254,,,EPI_ISL_11339129,,,hCoV-19/England/NEWC-3B21F71/2022,,ba_2
1255,,,EPI_ISL_11782705,,,hCoV-19/Scotland/NORT-YNNUCXJ/2022,,ba_2
1256,,,EPI_ISL_11746034,,,hCoV-19/England/PHEC-YYDSDSY/2022,,ba_2
1257,,,EPI_ISL_10978076,,,hCoV-19/England/BRBR-3964299/2022,,ba_2
1258,,,EPI_ISL_11867263,,,hCoV-19/Scotland/QEUH-3CF71B9/2022,,ba_2
1259,,,EPI_ISL_10571786,,,hCoV-19/England/MILK-385338C/2022,,ba_2
1260,,,EPI_ISL_17016586,,,hCoV-19/England/BRBR-326D7926/2023,,ba_2
1261,,,EPI_ISL_13108529,,,hCoV-19/England/PHEP-YYR9HZ1/2022,,ba_2
1262,,,EPI_ISL_10487128,,,hCoV-19/England/MILK-36D4701/2022,,ba_2
1263,,,EPI_ISL_12560802,,,hCoV-19/England/PHEC-YYR9SKU/2022,,ba_2
1264,,,EPI_ISL_10960497,,,hCoV-19/England/MILK-3962574/2022,,ba_2
1265,,,EPI_ISL_11389297,,,hCoV-19/England/LSPA-3B5C766/2022,,ba_2
1266,,,EPI_ISL_11693675,,,hCoV-19/Scotland/QEUH-3C6EB28/2022,,ba_2
1267,,,EPI_ISL_11058336,,,hCoV-19/Northern Ireland/NIRE-01a8fe/2022,,ba_2
1268,,,EPI_ISL_11431755,,,hCoV-19/England/BRBR-3BA046C/2022,,ba_2
1269,,,EPI_ISL_11007315,,,hCoV-19/Wales/PHWC-PEAP6D/2022,,ba_2
1270,,,EPI_ISL_11081878,,,hCoV-19/England/NEWC-39CFBFB/2022,,ba_2
1271,,,EPI_ISL_11185574,,,hCoV-19/England/LSPA-3A74C5B/2022,,ba_2
1272,,,EPI_ISL_12777840,,,hCoV-19/England/QEUH-3CDC23F/2022,,ba_2
1273,,,EPI_ISL_16645532,,,hCoV-19/England/QEUH-326A3589/2023,,ba_2
1274,,,EPI_ISL_12552608,,,hCoV-19/England/QEUH-3D6CD05/2022,,ba_2
1275,,,EPI_ISL_11752053,,,hCoV-19/England/PHWC-PJKCX9/2022,,ba_2
1276,,,EPI_ISL_12124912,,,hCoV-19/Scotland/QEUH-3D4B355/2022,,ba_2
1277,,,EPI_ISL_11320718,,,hCoV-19/Wales/PHWC-PJDGZN/2022,,ba_2
1278,,,EPI_ISL_10978075,,,hCoV-19/England/BRBR-39643A5/2022,,ba_2
1279,,,EPI_ISL_12044990,,,hCoV-19/England/PHEC-YYRYKOT/2022,,ba_2
1280,,,EPI_ISL_10244343,,,hCoV-19/England/MILK-373AC72/2022,,ba_2
1281,,,EPI_ISL_14020156,,,hCoV-19/England/QEUH-3EEE6D2/2022,,ba_2
1282,,,EPI_ISL_12225169,,,hCoV-19/Wales/PHWC-PJS7H4/2022,,ba_2
1283,,,EPI_ISL_12747827,,,hCoV-19/England/QEUH-3E0EE2F/2022,,ba_2
1284,,,EPI_ISL_11129619,,,hCoV-19/England/ALDP-3A1093C/2022,,ba_2
1285,,,EPI_ISL_12066161,,,hCoV-19/England/LSPA-3D35822/2022,,ba_2
1286,,,EPI_ISL_11269516,,,hCoV-19/Scotland/QEUH-3AD97BD/2022,,ba_2
1287,,,EPI_ISL_11918568,,,hCoV-19/England/LSPA-3D0AF8B/2022,,ba_2
1288,,,EPI_ISL_18085027,,,hCoV-19/England/QEUH-2EAEEBE3/2022,,ba_2
1289,,,EPI_ISL_12067869,,,hCoV-19/England/LSPA-3D2D6BA/2022,,ba_2
1290,,,EPI_ISL_12286744,,,hCoV-19/Scotland/QEUH-3D80381/2022,,ba_2
1291,,,EPI_ISL_11151243,,,hCoV-19/England/MILK-3A31610/2022,,ba_2
1292,,,EPI_ISL_11185645,,,hCoV-19/England/LSPA-3A74BA9/2022,,ba_2
1293,,,EPI_ISL_9824150,,,hCoV-19/England/LSPA-358A53E/2022,,ba_2
1294,,,EPI_ISL_10548909,,,hCoV-19/Scotland/QEUH-37807C7/2022,,ba_2
1295,,,EPI_ISL_10390129,,,hCoV-19/England/DHSC-CYYD3DX/2022,,ba_2
1296,,,EPI_ISL_10848120,,,hCoV-19/England/LSPA-38D9263/2022,,ba_2
1297,,,EPI_ISL_10736199,,,hCoV-19/England/MILK-38A1CA2/2022,,ba_2
1298,,,EPI_ISL_13694473,,,hCoV-19/Scotland/SCOT-13947/2022,,ba_2
1299,,,EPI_ISL_16879324,,,hCoV-19/England/BRBR-326BDCC3/2023,,ba_2
1300,,,EPI_ISL_11428609,,,hCoV-19/England/LSPA-3BB713E/2022,,ba_2
1301,,,EPI_ISL_11772437,,,hCoV-19/Scotland/QEUH-3CE362A/2022,,ba_2
1302,,,EPI_ISL_10962053,,,hCoV-19/England/MILK-39524D4/2022,,ba_2
1303,,,EPI_ISL_11126241,,,hCoV-19/England/ALDP-3A0E7BF/2022,,ba_2
1304,,,EPI_ISL_10521323,,,hCoV-19/England/MILK-3844F20/2022,,ba_2
1305,,,EPI_ISL_11555305,,,hCoV-19/Scotland/QEUH-3BA9788/2022,,ba_2
1306,,,EPI_ISL_11648604,,,hCoV-19/Scotland/QEUH-3C470CC/2022,,ba_2
1307,,,EPI_ISL_11688105,,,hCoV-19/England/LSPA-3C864B6/2022,,ba_2
1308,,,EPI_ISL_12282684,,,hCoV-19/Scotland/QEUH-3D94584/2022,,ba_2
1309,,,EPI_ISL_12838122,,,hCoV-19/England/LSPA-3E1BA58/2022,,ba_2
1310,,,EPI_ISL_10736002,,,hCoV-19/England/MILK-38A2BA4/2022,,ba_2
1311,,,EPI_ISL_12259916,,,hCoV-19/England/PHEC-YYRIP7J/2022,,ba_2
1312,,,EPI_ISL_11037562,,,hCoV-19/England/ALDP-39C1607/2022,,ba_2
1313,,,EPI_ISL_10336603,,,hCoV-19/England/ALDP-37897BF/2022,,ba_2
1314,,,EPI_ISL_16586695,,,hCoV-19/England/PHEC-YY84TED/2023,,ba_2
1315,,,EPI_ISL_12469285,,,hCoV-19/England/LSPA-3DCBF1D/2022,,ba_2
1316,,,EPI_ISL_13359351,,,hCoV-19/England/LSPA-3E4FA4C/2022,,ba_2
1317,,,EPI_ISL_16285663,,,hCoV-19/England/LSPA-3263FF66/2022,,ba_2
1318,,,EPI_ISL_16615188,,,hCoV-19/England/PHEC-YY8HNHF/2023,,ba_2
1319,,,EPI_ISL_11552786,,,hCoV-19/Scotland/QEUH-3BC9166/2022,,ba_2
1320,,,EPI_ISL_10521021,,,hCoV-19/Scotland/QEUH-3825FE9/2022,,ba_2
1321,,,EPI_ISL_13474970,,,hCoV-19/England/PHEC-YYFTGOT/2022,,ba_2
1322,,,EPI_ISL_11389279,,,hCoV-19/England/LSPA-3B5CC2B/2022,,ba_2
1323,,,EPI_ISL_11123803,,,hCoV-19/England/PLYM-3A2F985/2022,,ba_2
1324,,,EPI_ISL_13399259,,,hCoV-19/England/QEUH-3E5C271/2022,,ba_2
1325,,,EPI_ISL_10285735,,,hCoV-19/England/MILK-377E8E7/2022,,ba_2
1326,,,EPI_ISL_13535422,,,hCoV-19/Scotland/EDB63435/2022,,ba_2
1327,,,EPI_ISL_11420075,,,hCoV-19/England/LSPA-3B7BA2C/2022,,ba_2
1328,,,EPI_ISL_11800900,,,hCoV-19/Scotland/QEUH-3CE652A/2022,,ba_2
1329,,,EPI_ISL_11058549,,,hCoV-19/Northern Ireland/NIRE-01a9e0/2022,,ba_2
1330,,,EPI_ISL_12261354,,,hCoV-19/England/PHEC-YYRUJFN/2022,,ba_2
1331,,,EPI_ISL_18087797,,,hCoV-19/Scotland/QEUH-3F947C8/2022,,ba_2
1332,,,EPI_ISL_10536272,,,hCoV-19/Scotland/QEUH-37A3A7A/2022,,ba_2
1333,,,EPI_ISL_11421293,,,hCoV-19/England/MILK-3B5E0E1/2022,,ba_2
1334,,,EPI_ISL_17284314,,,hCoV-19/England/PHEC-YYEMPT1/2023,,ba_2
1335,,,EPI_ISL_11393587,,,hCoV-19/England/MILK-3B41DDB/2022,,ba_2
1336,,,EPI_ISL_16442401,,,hCoV-19/England/BRBR-32679FCA/2022,,ba_2
1337,,,EPI_ISL_11829545,,,hCoV-19/England/PHEC-YYD41SJ/2022,,ba_2
1338,,,EPI_ISL_10932355,,,hCoV-19/England/MILK-3924004/2022,,ba_2
1339,,,EPI_ISL_17731214,,,hCoV-19/England/PHEP-YYGIM4X/2023,,ba_2
1340,,,EPI_ISL_11196348,,,hCoV-19/England/BRBR-3A830B7/2022,,ba_2
1341,,,EPI_ISL_12583448,,,hCoV-19/England/PHEC-YYFYA16/2022,,ba_2
1342,,,EPI_ISL_11688902,,,hCoV-19/England/LSPA-3C8FD58/2022,,ba_2
1343,,,EPI_ISL_9734516,,,hCoV-19/Northern Ireland/NORT-YBHQWX/2022,,ba_2
1344,,,EPI_ISL_13325949,,,hCoV-19/England/PHEP-YYFY1XM/2022,,ba_2
1345,,,EPI_ISL_13106490,,,hCoV-19/England/LSPA-3E3A640/2022,,ba_2
1346,,,EPI_ISL_12104479,,,hCoV-19/England/PHEC-YYRK69M/2022,,ba_2
1347,,,EPI_ISL_17154176,,,hCoV-19/England/QEUH-326E8BC2/2023,,ba_2
1348,,,EPI_ISL_11918273,,,hCoV-19/England/LSPA-3D12F35/2022,,ba_2
1349,,,EPI_ISL_11289822,,,hCoV-19/Scotland/QEUH-3A91C2B/2022,,ba_2
1350,,,EPI_ISL_10847806,,,hCoV-19/Scotland/QEUH-38E19CD/2022,,ba_2
1351,,,EPI_ISL_12204749,,,hCoV-19/England/PHEC-YYRT8JY/2022,,ba_2
1352,,,EPI_ISL_11512678,,,hCoV-19/England/BRBR-3BBF9A7/2022,,ba_2
1353,,,EPI_ISL_12772687,,,hCoV-19/England/QEUH-3D0F7AC/2022,,ba_2
1354,,,EPI_ISL_11731950,,,hCoV-19/England/QEUH-3CAF174/2022,,ba_2
1355,,,EPI_ISL_12338007,,,hCoV-19/Scotland/QEUH-3D840FF/2022,,ba_2
1356,,,EPI_ISL_11980900,,,hCoV-19/Scotland/QEUH-3D17C39/2022,,ba_2
1357,,,EPI_ISL_11337538,,,hCoV-19/England/LSPA-3B0E772/2022,,ba_2
1358,,,EPI_ISL_11334245,,,hCoV-19/England/LSPA-3B35578/2022,,ba_2
1359,,,EPI_ISL_11688029,,,hCoV-19/England/LSPA-3C8651D/2022,,ba_2
1360,,,EPI_ISL_11062080,,,hCoV-19/Wales/PHWC-PEHFT7/2022,,ba_2
1361,,,EPI_ISL_10476475,,,hCoV-19/England/MILK-372DF2E/2022,,ba_2
1362,,,EPI_ISL_10420337,,,hCoV-19/England/ALDP-378DF86/2022,,ba_2
1363,,,EPI_ISL_11917121,,,hCoV-19/England/LSPA-3D2016B/2022,,ba_2
1364,,,EPI_ISL_13442261,,,hCoV-19/England/LSPA-3D9F9D8/2022,,ba_2
1365,,,EPI_ISL_9996924,,,hCoV-19/England/LSPA-365CF54/2022,,ba_2
1366,,,EPI_ISL_10056710,,,hCoV-19/England/LSPA-368A306/2022,,ba_2
1367,,,EPI_ISL_11181346,,,hCoV-19/England/QEUH-3A66472/2022,,ba_2
1368,,,EPI_ISL_12076614,,,hCoV-19/England/PHEC-YYRD4RW/2022,,ba_2
1369,,,EPI_ISL_11653546,,,hCoV-19/England/ALDP-3C23FD8/2022,,ba_2
1370,,,EPI_ISL_10518706,,,hCoV-19/England/MILK-3841776/2022,,ba_2
1371,,,EPI_ISL_16721197,,,hCoV-19/England/QEUH-326A90DD/2023,,ba_2
1372,,,EPI_ISL_13066314,,,hCoV-19/England/PHEC-YYFCFME/2022,,ba_2
1373,,,EPI_ISL_11186215,,,hCoV-19/England/BRBR-3A70721/2022,,ba_2
1374,,,EPI_ISL_10671361,,,hCoV-19/Northern Ireland/NIRE-01a1fd/2022,,ba_2
1375,,,EPI_ISL_11492129,,,hCoV-19/England/PHEP-YYRXQZB/2022,,ba_2
1376,,,EPI_ISL_11606773,,,hCoV-19/Wales/LSPA-3BBB413/2022,,ba_2
1377,,,EPI_ISL_12724546,,,hCoV-19/England/QEUH-3DFC9E8/2022,,ba_2
1378,,,EPI_ISL_11748271,,,hCoV-19/England/PHEP-YYR13HF/2022,,ba_2
1379,,,EPI_ISL_11801411,,,hCoV-19/England/QEUH-3CCFAFB/2022,,ba_2
1380,,,EPI_ISL_11650744,,,hCoV-19/England/NEWC-3C57EFC/2022,,ba_2
1381,,,EPI_ISL_12282936,,,hCoV-19/Scotland/QEUH-3D8AC04/2022,,ba_2
1382,,,EPI_ISL_11046785,,,hCoV-19/Scotland/QEUH-39536CE/2022,,ba_2
1383,,,EPI_ISL_11225682,,,hCoV-19/England/PHEC-YYDJAO1/2022,,ba_2
1384,,,EPI_ISL_11151215,,,hCoV-19/England/ALDP-3A31F24/2022,,ba_2
1385,,,EPI_ISL_11642106,,,hCoV-19/England/QEUH-3C5DDCC/2022,,ba_2
1386,,,EPI_ISL_11335256,,,hCoV-19/England/MILK-3B3F17A/2022,,ba_2
1387,,,EPI_ISL_12490890,,,hCoV-19/Scotland/QEUH-3DD41B1/2022,,ba_2
1388,,,EPI_ISL_18085048,,,hCoV-19/England/QEUH-2EAEEE26/2022,,ba_2
1389,,,EPI_ISL_12445614,,,hCoV-19/England/PHEC-YYRHOYU/2022,,ba_2
1390,,,EPI_ISL_11544295,,,hCoV-19/Scotland/QEUH-3C052E2/2022,,ba_2
1391,,,EPI_ISL_18086850,,,hCoV-19/Scotland/QEUH-32576E0D/2022,,ba_2
1392,,,EPI_ISL_18026365,,,hCoV-19/England/QEUH-2EA0E94D/2022,,ba_2
1393,,,EPI_ISL_11828924,,,hCoV-19/England/PHEC-YYD34HZ/2022,,ba_2
1394,,,EPI_ISL_11471037,,,hCoV-19/England/PHEC-YYDP3NG/2022,,ba_2
1395,,,EPI_ISL_9128937,,,hCoV-19/England/MILK-3330BEC/2022,,ba_2
1396,,,EPI_ISL_16441464,,,hCoV-19/England/QEUH-3266440F/2022,,ba_2
1397,,,EPI_ISL_9585011,,,hCoV-19/England/MILK-34AC35B/2022,,ba_2
1398,,,EPI_ISL_10742863,,,hCoV-19/England/DHSC-CYBNGE3/2022,,ba_2
1399,,,EPI_ISL_11813521,,,hCoV-19/Wales/PHWC-PJQPM6/2022,,ba_2
1400,,,EPI_ISL_13066612,,,hCoV-19/Wales/PHWC-PJHXDX/2022,,ba_2
1401,,,EPI_ISL_11188379,,,hCoV-19/England/PLYM-3A62E1E/2022,,ba_2
1402,,,EPI_ISL_10857729,,,hCoV-19/Scotland/QEUH-38D8361/2022,,ba_2
1403,,,EPI_ISL_12547542,,,hCoV-19/Scotland/QEUH-3DE8C04/2022,,ba_2
1404,,,EPI_ISL_12680761,,,hCoV-19/England/PHEP-YYR6PXW/2022,,ba_2
1405,,,EPI_ISL_11605943,,,hCoV-19/Wales/PHWC-PJEDFY/2022,,ba_2
1406,,,EPI_ISL_11334587,,,hCoV-19/England/LSPA-3B362BC/2022,,ba_2
1407,,,EPI_ISL_11003737,,,hCoV-19/England/PHEC-YYDN5WI/2022,,ba_2
1408,,,EPI_ISL_18021243,,,hCoV-19/England/QEUH-2E9FBA7E/2022,,ba_2
1409,,,EPI_ISL_12204710,,,hCoV-19/England/PHEC-YYROYO4/2022,,ba_2
1410,,,EPI_ISL_9732455,,,hCoV-19/England/MILK-354D0AF/2022,,ba_2
1411,,,EPI_ISL_10194636,,,hCoV-19/England/MILK-37287FE/2022,,ba_2
1412,,,EPI_ISL_10885352,,,hCoV-19/England/MILK-38F69E3/2022,,ba_2
1413,,,EPI_ISL_10857453,,,hCoV-19/Scotland/QEUH-38D82EC/2022,,ba_2
1414,,,EPI_ISL_11046564,,,hCoV-19/Scotland/QEUH-3972993/2022,,ba_2
1415,,,EPI_ISL_11703804,,,hCoV-19/England/NEWC-3C4F176/2022,,ba_2
1416,,,EPI_ISL_11285160,,,hCoV-19/Scotland/QEUH-3A95304/2022,,ba_2
1417,,,EPI_ISL_11694181,,,hCoV-19/Scotland/QEUH-3C79D06/2022,,ba_2
1418,,,EPI_ISL_11228024,,,hCoV-19/Wales/PHWC-PE9A3W/2022,,ba_2
1419,,,EPI_ISL_11078176,,,hCoV-19/England/BRBR-39FFA9B/2022,,ba_2
1420,,,EPI_ISL_17105426,,,hCoV-19/England/PLYM-326E2B13/2023,,ba_2
1421,,,EPI_ISL_13419774,,,hCoV-19/Scotland/EDB62727/2022,,ba_2
1422,,,EPI_ISL_11428628,,,hCoV-19/England/LSPA-3BB7936/2022,,ba_2
1423,,,EPI_ISL_11418222,,,hCoV-19/England/MILK-3B76A30/2022,,ba_2
1424,,,EPI_ISL_11153494,,,hCoV-19/England/BRBR-3A452BB/2022,,ba_2
1425,,,EPI_ISL_12260697,,,hCoV-19/England/PHEC-YYRUBER/2022,,ba_2
1426,,,EPI_ISL_17201207,,,hCoV-19/England/QEUH-326F7568/2023,,ba_2
1427,,,EPI_ISL_11552522,,,hCoV-19/England/ALDP-3C136D6/2022,,ba_2
1428,,,EPI_ISL_12895194,,,hCoV-19/Scotland/SCOT-12506/2022,,ba_2
1429,,,EPI_ISL_10372604,,,hCoV-19/England/DHSC-CYDTXXB/2022,,ba_2
1430,,,EPI_ISL_11046555,,,hCoV-19/Scotland/QEUH-39731F4/2022,,ba_2
1431,,,EPI_ISL_10798880,,,hCoV-19/England/NEWC-38BFFE4/2022,,ba_2
1432,,,EPI_ISL_12255188,,,hCoV-19/Northern Ireland/NIRE-01c4f9/2022,,ba_2
1433,,,EPI_ISL_10994820,,,hCoV-19/England/DHSC-CYDPX84/2022,,ba_2
1434,,,EPI_ISL_12478483,,,hCoV-19/Scotland/QEUH-3DCC8C6/2022,,ba_2
1435,,,EPI_ISL_10645206,,,hCoV-19/England/LSPA-3863A1B/2022,,ba_2
1436,,,EPI_ISL_11388252,,,hCoV-19/England/MILK-3B585E8/2022,,ba_2
1437,,,EPI_ISL_16406732,,,hCoV-19/England/LSPA-3264BEF1/2022,,ba_2
